Original,Concepto
human,Demografía
male,Demografía
female,Demografía
animal,Modelos Animales y Zoología
controlled_study,Metodología de Investigación
nonhuman,Modelos Animales y Zoología
adult,Demografía
metabolism,Bioquímica
priority_journal,Miscelánea Científica
middle_aged,Demografía
rat,Modelos Animales y Zoología
animal_experiment,Metodología de Investigación
chemistry,Química y Ciencia de Materiales
unclassified_drug,Farmacología
drug_effect,Farmacología
mexico_[north_america],Geografía
genetics,Genética
mouse,Modelos Animales y Zoología
physiology,Anatomía y Biología Celular
aged,Demografía
oxidative_stress,Bioquímica
young_adult,Demografía
child,Demografía
adolescent,Demografía
animal_model,Modelos Animales y Zoología
review,Metodología de Investigación
antioxidant,Farmacología
cross-sectional_study,Metodología de Investigación
major_clinical_study,Metodología de Investigación
animal_tissue,Anatomía y Biología Celular
risk_factor,Salud Pública
scanning_electron_microscopy,Técnicas Analíticas
plant_extract,Botánica y Agricultura
procedure,Metodología de Investigación
prevalence,Salud Pública
pathology,Patología y Enfermedades
protein_expression,Bioquímica
kinetics,Física e Ingeniería
cell_proliferation,Anatomía y Biología Celular
carbon_dioxide,Química y Ciencia de Materiales
temperature,Física e Ingeniería
fermentation,Bioquímica
glucose,Bioquímica
animal_cell,Anatomía y Biología Celular
enzyme_activity,Bioquímica
pregnancy,Anatomía y Biología Celular
in_vitro_study,Metodología de Investigación
obesity,Patología y Enfermedades
mexico_city,Geografía
particle_size,Química y Ciencia de Materiales
comparative_study,Metodología de Investigación
gene_expression,Genética
signal_transduction,Anatomía y Biología Celular
human_cell,Anatomía y Biología Celular
density_functional_theory,Física e Ingeniería
x_ray_diffraction,Técnicas Analíticas
biomass,Ciencias Ambientales
adsorption,Química y Ciencia de Materiales
clinical_article,Metodología de Investigación
inflammation,Inmunología
molecular_dynamic,Química y Ciencia de Materiales
apoptosis,Anatomía y Biología Celular
oxidation,Química y Ciencia de Materiales
ph,Química y Ciencia de Materiales
wistar_rat,Modelos Animales y Zoología
protein,Bioquímica
oxygen,Química y Ciencia de Materiales
blood,Anatomía y Biología Celular
brain,Anatomía y Biología Celular
rats_wistar,Modelos Animales y Zoología
titanium_dioxide,Química y Ciencia de Materiales
diffusion,Física e Ingeniería
starch,Bioquímica
microbiology,Microbiología
catalyst,Química y Ciencia de Materiales
fourier_transform_infrared_spectroscopy,Técnicas Analíticas
escherichia_coli,Microbiología
phenotype,Genética
cytokine,Inmunología
carbon,Química y Ciencia de Materiales
phylogeny,Genética
genotype,Genética
reactive_oxygen_metabolite,Bioquímica
isolation_and_purification,Técnicas Analíticas
molecule,Química y Ciencia de Materiales
immunohistochemistry,Técnicas Analíticas
body_mass,Demografía
pathophysiology,Patología y Enfermedades
water,Ciencias Ambientales
thermodynamics,Física e Ingeniería
copper,Química y Ciencia de Materiales
algorithm,Informática y Matemáticas
infant,Demografía
tumor_necrosis_factor,Inmunología
mortality,Salud Pública
me-xico,Geografía
antineoplastic_agent,Farmacología
interleukin_6,Inmunología
phenol,Química y Ciencia de Materiales
methane,Química y Ciencia de Materiales
cell_culture,Técnicas Analíticas
body_weight,Demografía
bioreactors,Ciencias Ambientales
cell_survival,Anatomía y Biología Celular
morphology,Anatomía y Biología Celular
polymerase_chain_reaction,Técnicas Analíticas
human_tissue,Anatomía y Biología Celular
catalysis,Química y Ciencia de Materiales
high_performance_liquid_chromatography,Técnicas Analíticas
hydrolysis,Química y Ciencia de Materiales
biological_marker,Bioquímica
synthesis,Química y Ciencia de Materiales
cytology,Anatomía y Biología Celular
nanoparticles,Química y Ciencia de Materiales
fruit,Botánica y Agricultura
chemical_structure,Química y Ciencia de Materiales
gene_expression_regulation,Genética
complication,Patología y Enfermedades
global_health,Salud Pública
catalyst_activity,Química y Ciencia de Materiales
physicochemical_property,Química y Ciencia de Materiales
biodegradation,Ciencias Ambientales
concentration_composition,Química y Ciencia de Materiales
cell_viability,Anatomía y Biología Celular
retrospective_study,Metodología de Investigación
hydrogen_bond,Química y Ciencia de Materiales
flavonoid,Bioquímica
depression,Psicología y Comportamiento
student,Demografía
gene,Genética
aging,Demografía
newborn,Demografía
insulin,Bioquímica
molecular_docking,Informática y Matemáticas
hydrodynamics,Física e Ingeniería
glucose_blood_level,Bioquímica
surface_property,Química y Ciencia de Materiales
glass,Química y Ciencia de Materiales
photocatalytic_activity,Química y Ciencia de Materiales
risk_assessment,Salud Pública
ion,Química y Ciencia de Materiales
heart_rate,Anatomía y Biología Celular
covid-19,Patología y Enfermedades
in_vivo_study,Metodología de Investigación
ecosystem,Ciencias Ambientales
time_factor,Metodología de Investigación
computer_simulation,Informática y Matemáticas
numerical_method,Informática y Matemáticas
electrode,Física e Ingeniería
biosynthesis,Bioquímica
messenger_rna,Genética
bioreactor,Ciencias Ambientales
diabetes_mellitus,Patología y Enfermedades
